participant_id,condition,image_path,trial_type,user_response,boundary_position,RT
00002,item_only,Objects\157a.jpg,Target,Lure,Mid,3.199527999997372
00002,item_only,Scenes\173a.jpg,Target,Target,Pre,1.5891736000012315
00002,item_only,Objects\139a.jpg,Target,Target,Pre,3.3614697999983036
00002,item_only,Scenes\022b.jpg,Lure,Lure,,
00002,item_only,Objects\185a.jpg,Target,Lure,Mid,4.0530012999988685
00002,item_only,Scenes\186b.jpg,Lure,Lure,,
00002,item_only,Scenes\119a.jpg,Target,Target,Mid,1.1126819999990405
00002,item_only,Scenes\183a.jpg,Target,Foil,Mid,3.232668900000135
00002,item_only,Objects\155b.jpg,Lure,Foil,,
00002,item_only,Objects\003a.jpg,Target,Lure,Mid,2.114017799998692
00002,item_only,Foils\065a.jpg,Foil,Target,,
00002,item_only,Scenes\074b.jpg,Lure,Lure,,
00002,item_only,Objects\033b.jpg,Lure,Target,,
00002,item_only,Objects\173a.jpg,Target,Foil,Mid,3.2000418999996327
00002,item_only,Objects\183b.jpg,Lure,Lure,,
00002,item_only,Scenes\125a.jpg,Target,Foil,Mid,3.6283676000020932
00002,item_only,Objects\004b.jpg,Lure,Foil,,
00002,item_only,Foils\scenes3.jpg,Foil,Foil,,
00002,item_only,Scenes\002a.jpg,Target,Target,Mid,1.7806861000026402
00002,item_only,Scenes\190b.jpg,Lure,Foil,,
00002,item_only,Objects\151b.jpg,Lure,Foil,,
00002,item_only,Foils\scenes20.jpg,Foil,Foil,,
00002,item_only,Objects\049a.jpg,Target,Target,Mid,2.628943299998354
00002,item_only,Objects\013a.jpg,Target,Target,Pre,2.925671400000283
00002,item_only,Foils\033a.jpg,Foil,Foil,,
00002,item_only,Scenes\049a.jpg,Target,Target,Mid,3.1740510999989056
00002,item_only,Objects\101b.jpg,Lure,Foil,,
00002,item_only,Objects\002b.jpg,Lure,Foil,,
00002,item_only,Objects\028a.jpg,Target,Lure,Mid,4.741397099998721
00002,item_only,Objects\080a.jpg,Target,Foil,Pre,2.7912953999984893
00002,item_only,Foils\093b.jpg,Foil,Foil,,
00002,item_only,Scenes\185b.jpg,Lure,Foil,,
00002,item_only,Foils\scenes25.jpg,Foil,Foil,,
00003,item_only,Objects\187b.jpg,Lure,Foil,,
00003,item_only,Objects\171a.jpg,Target,Lure,Pre,0.981933899995056
00003,item_only,Objects\140b.jpg,Lure,Lure,,
00003,item_only,Foils\scenes26.jpg,Foil,Lure,,
00003,item_only,Objects\006b.jpg,Lure,Target,,
00003,item_only,Objects\190a.jpg,Target,Target,Mid,3.7258243000032962
00003,item_only,Scenes\050a.jpg,Target,Target,Mid,0.5038437000039266
00003,item_only,Scenes\076a.jpg,Target,Lure,Mid,3.1617294999959995
00003,item_only,Scenes\158a.jpg,Target,Target,Pre,1.8662564999976892
00003,item_only,Foils\scenes1.jpg,Foil,Lure,,
00003,item_only,Scenes\088b.jpg,Lure,Target,,
00003,item_only,Objects\109a.jpg,Target,Lure,Mid,2.129090200003702
00003,item_only,Foils\026a.jpg,Foil,Lure,,
00003,item_only,Scenes\096a.jpg,Target,Target,Pre,2.575615199995809
00003,item_only,Foils\074a.jpg,Foil,Foil,,
00003,item_only,Objects\189b.jpg,Lure,Lure,,
00003,item_only,Objects\008b.jpg,Lure,Target,,
00003,item_only,Scenes\094a.jpg,Target,Target,Pre,1.2464345999978832
00003,item_only,Foils\scenes12.jpg,Foil,Lure,,
00003,item_only,Scenes\161b.jpg,Lure,Lure,,
00003,item_only,Objects\058a.jpg,Target,Lure,Mid,0.7851789000051212
00003,item_only,Foils\scenes28.jpg,Foil,Lure,,
00003,item_only,Foils\scenes2.jpg,Foil,Lure,,
00003,item_only,Scenes\126a.jpg,Target,Target,Pre,0.6965402999994694
00003,item_only,Foils\scenes23.jpg,Foil,Foil,,
00003,item_only,Foils\121a.jpg,Foil,Foil,,
00003,item_only,Objects\107b.jpg,Lure,Target,,
00003,item_only,Scenes\071b.jpg,Lure,Foil,,
00003,item_only,Scenes\086a.jpg,Target,Foil,Pre,2.4798500999968383
00003,item_only,Objects\068b.jpg,Lure,Target,,
00003,item_only,Scenes\112a.jpg,Target,Lure,Pre,2.03605239999888
00003,item_only,Foils\050a.jpg,Foil,Foil,,
00003,item_only,Objects\045b.jpg,Lure,Lure,,
00003,item_only,Scenes\019b.jpg,Lure,Target,,
00003,item_only,Objects\081a.jpg,Target,Target,Mid,2.597537800000282
00003,item_only,Objects\041a.jpg,Target,Target,Pre,1.2645804999992831
00003,item_only,Scenes\074a.jpg,Target,Target,Mid,1.0515709000028437
00003,item_only,Objects\177a.jpg,Target,Target,Mid,1.392704900004901
00003,item_only,Scenes\167b.jpg,Lure,Foil,,
00003,item_only,Scenes\031b.jpg,Lure,Target,,
00003,item_only,Scenes\188a.jpg,Target,Foil,Pre,3.9045321000012336
00003,item_only,Objects\145a.jpg,Target,Foil,Mid,0.5385017000007792
00003,item_only,Scenes\033a.jpg,Target,Target,Mid,0.742182000001776
00003,item_only,Objects\131a.jpg,Target,Target,Mid,3.0639835999973
00003,item_only,Objects\055b.jpg,Lure,Target,,
00003,item_only,Objects\186a.jpg,Target,Target,Mid,3.2908500999983517
00003,item_only,Scenes\012b.jpg,Lure,Target,,
00003,item_only,Foils\scenes4.jpg,Foil,Foil,,
00003,item_only,Objects\118b.jpg,Lure,Foil,,
00003,item_only,Objects\038b.jpg,Lure,Target,,
00003,item_only,Scenes\038b.jpg,Lure,Target,,
00003,item_only,Scenes\017a.jpg,Target,Lure,Pre,0.7831680000017514
00003,item_only,Scenes\046b.jpg,Lure,Lure,,
00003,item_only,Scenes\176b.jpg,Lure,Lure,,
00003,item_only,Scenes\041b.jpg,Lure,Lure,,
00003,item_only,Scenes\114b.jpg,Lure,Foil,,
00003,item_only,Scenes\036b.jpg,Lure,Lure,,
00003,item_only,Scenes\157a.jpg,Target,Foil,Mid,2.7575586999955704
00003,item_only,Objects\049a.jpg,Target,Foil,Mid,0.6821228000044357
00003,item_only,Foils\scenes16.jpg,Foil,Lure,,
00003,item_only,Objects\064a.jpg,Target,Target,Mid,1.7298536999951466
00003,item_only,Scenes\024a.jpg,Target,Foil,Mid,0.8463752999959979
00003,item_only,Objects\011a.jpg,Target,Target,Mid,1.231198499997845
00003,item_only,Objects\018b.jpg,Lure,Lure,,
00003,item_only,Foils\scenes15.jpg,Foil,Foil,,
00003,item_only,Scenes\164b.jpg,Lure,Lure,,
00003,item_only,Foils\010a.jpg,Foil,Foil,,
00003,item_only,Scenes\184b.jpg,Lure,Lure,,
00003,item_only,Objects\028a.jpg,Target,Target,Mid,1.1427287999977125
00003,item_only,Objects\020a.jpg,Target,Target,Mid,1.7764470000038273
00003,item_only,Foils\105a.jpg,Foil,Lure,,
00003,item_only,Objects\046a.jpg,Target,Target,Pre,0.7591897000020253
00003,item_only,Foils\002a.jpg,Foil,Foil,,
00003,item_only,Scenes\163a.jpg,Target,Foil,Pre,1.187754099999438
00003,item_only,Objects\029a.jpg,Target,Foil,Mid,7.002916899997217
00003,item_only,Scenes\172a.jpg,Target,Lure,Mid,0.8816384000019752
00003,item_only,Objects\022b.jpg,Lure,Foil,,
00003,item_only,Scenes\106a.jpg,Target,Foil,Pre,1.974920500004373
00003,item_only,Scenes\008b.jpg,Lure,Target,,
00003,item_only,Objects\144a.jpg,Target,Target,Mid,1.9141800999932457
00003,item_only,Scenes\103b.jpg,Lure,Target,,
00003,item_only,Foils\081a.jpg,Foil,Foil,,
00003,item_only,Objects\181a.jpg,Target,Target,Mid,1.7056950999976834
00003,item_only,Foils\086a.jpg,Foil,Foil,,
00003,item_only,Scenes\059b.jpg,Lure,Target,,
00003,item_only,Scenes\003b.jpg,Lure,Lure,,
00003,item_only,Objects\075b.jpg,Lure,Target,,
00003,item_only,Scenes\052b.jpg,Lure,Foil,,
00003,item_only,Scenes\084a.jpg,Target,Foil,Pre,0.5602887999993982
00003,item_only,Objects\120b.jpg,Lure,Target,,
00003,item_only,Scenes\067b.jpg,Lure,Lure,,
00003,item_only,Scenes\169a.jpg,Target,Target,Mid,0.677557800001523
00003,item_only,Objects\162b.jpg,Lure,Foil,,
00003,item_only,Scenes\078b.jpg,Lure,Foil,,
00003,item_only,Scenes\066a.jpg,Target,Lure,Mid,0.8812384999982896
00003,item_only,Foils\066a.jpg,Foil,Target,,
00003,item_only,Scenes\009a.jpg,Target,Target,Mid,0.817314300002181
00003,item_only,Objects\142b.jpg,Lure,Lure,,
00003,item_only,Scenes\152b.jpg,Lure,Lure,,
00003,item_only,Foils\scenes20.jpg,Foil,Lure,,
00003,item_only,Objects\180b.jpg,Lure,Lure,,
00003,item_only,Objects\067b.jpg,Lure,Foil,,
00003,item_only,Objects\083a.jpg,Target,Target,Pre,0.6435490000003483
00003,item_only,Objects\066a.jpg,Target,Target,Mid,2.3428242999943905
00003,item_only,Scenes\061a.jpg,Target,Foil,Pre,2.055304299996351
00003,item_only,Foils\scenes5.jpg,Foil,Foil,,
00003,item_only,Objects\184a.jpg,Target,Target,Mid,1.4308928999962518
00003,item_only,Foils\073a.jpg,Foil,Foil,,
00003,item_only,Objects\174b.jpg,Lure,Target,,
00003,item_only,Scenes\021b.jpg,Lure,Target,,
00003,item_only,Objects\030b.jpg,Lure,Target,,
00003,item_only,Scenes\039a.jpg,Target,Target,Mid,3.483350500006054
00003,item_only,Objects\128a.jpg,Target,Target,Pre,4.559034600002633
00003,item_only,Scenes\181a.jpg,Target,Lure,Mid,3.3868982999993023
00003,item_only,Objects\182b.jpg,Lure,Target,,
00003,item_only,Scenes\002a.jpg,Target,Foil,Mid,3.164142100002209
00003,item_only,Foils\scenes7.jpg,Foil,Foil,,
00003,item_only,Foils\020b.jpg,Foil,Foil,,
00003,item_only,Objects\126b.jpg,Lure,Lure,,
00003,item_only,Scenes\091a.jpg,Target,Foil,Mid,1.510536100002355
00003,item_only,Scenes\137a.jpg,Target,Target,Pre,2.8015679999953136
00003,item_only,Scenes\186a.jpg,Target,Foil,Mid,2.912254099996062
00003,item_only,Objects\003b.jpg,Lure,Target,,
00003,item_only,Objects\143b.jpg,Lure,Target,,
00003,item_only,Scenes\087a.jpg,Target,Foil,Pre,0.7559121000012965
00003,item_only,Scenes\089b.jpg,Lure,Lure,,
00003,item_only,Objects\009a.jpg,Target,Lure,Mid,1.977690400002757
00003,item_only,Objects\059a.jpg,Target,Target,Mid,1.3186798000024282
00003,item_only,Foils\097a.jpg,Foil,Foil,,
00003,item_only,Foils\scenes25.jpg,Foil,Foil,,
00003,item_only,Scenes\062b.jpg,Lure,Target,,
00003,item_only,Scenes\042b.jpg,Lure,Foil,,
00003,item_only,Objects\167b.jpg,Lure,Target,,
